RUMAH SAKIT KOTA SEMARANG

BALKESMAS WIL. SEMARANG
BKIM Provinsi Jawa Tengah
GINJAL HIPERTENSI LESTARI
KLINIK GINJAL LESTARI JRAKAH
RS BANYUMANIK SEMARANG
RS BHAYANGKARA AKPOL
RS BHAYANGKARA SEMARANG
RS GIGI DAN MULUT UNIMUS
RS HERMINA BANYUMANIK
RS HERMINA PANDANARAN
RS Khusus Bedah Columbia Asia
RS NASIONAL DIPONEGORO 
RS PANTI WILASA CITARUM
RS PANTI WILASA DR CIPTO
RS PERMATA MEDIKA
RS PRIMAYA 
RS ROEMANI MUHAMMADIYAH
RS ST ELISABETH
RS TELOGOREJO
RSI SULTAN AGUNG
RSIA Plamongan Indah
RSIGM SULTAN AGUNG
RSJD  DR. AMINO GONDOHUTOMO
RST BHAKTI WIRA TAMTAMA
RSU BANYUMANIK 2
RSU WILLIAM BOOTH
RSUD KRMT WONGSONEGORO
RSUD TUGUREJO
RSUP DR. KARIADI
